Job Skills,Number of Job Postings
sql,4195
python,4005
cloud,3183
aws,2937
machine_learning,2001
azure,1959
agile,1808
programming,1587
database,1541
etl,1488
tableau,1478
r,1395
spark,1384
excel,1268
microsoft,1076
snowflake,934
java,863
power_bi,798
redshift,789
bi,785
hadoop,771
warehousing,747
ml,696
ai,647
scala,632
airflow,623
looker,572
coding,557
saas,516
gcp,512
nosql,511
server,511
oracle,485
scrum,484
git,469
go,461
mysql,456
devops,438
pandas,417
data_lake,401
word,392
jira,389
docker,382
powerpoint,376
postgres,362
c,356
ci/cd,351
tensorflow,342
apache,326
bigquery,314
pyspark,314
nlp,306
numpy,293
sas,278
github,256
javascript,237
pytorch,223
visio,221
data_lakes,210
postgresql,207
linux,203
sap,200
scikit-learn,191
backend,185
slack,166
ssis,156
json,149
keras,139
c++,136
no-sql,136
outlook,132
jupyter,130
mongodb,126
matlab,125
ai/ml,117
redis,116
shell,116
qlik,115
xml,111
ruby,109
unix,107
macros,101
sharepoint,98
ibm,92
golang,91
bash,90
vba,85
mlops,84
spss,80
t-sql,79
ssrs,78
agile/scrum,77
node.js,77
iot,76
kanban,71
spreadsheets,70
cognos,68
html,68
alteryx,63
pl/sql,61
kotlin,59
rust,57
mongo,56
microstrategy,53
ssas,52
aurora,50
css,50
powershell,50
cicd,49
matplotlib,49
codebase,47
splunk,47
spreadsheet,45
paas,43
dataops,41
back-end,40
dax,39
plotly,38
nltk,36
perl,35
mssql,34
graphql,33
gitlab,32
atlassian,31
c/c++,30
unix/linux,30
ios,28
seaborn,27
bitbucket,25
terminal,25
bloomberg,24
gdpr,24
node,23
linux/unix,22
visual_basic,22
twilio,20
frontend,19
php,19
scrum/agile,17
datarobot,16
mxnet,14
datadog,12
asp.net,11
iaas,9
js,9
selenium,9
theano,9
swift,8
dplyr,7
javascript/typescript,7
powerpoints,6
vue,6
jquery,5
vb.net,5
fullstack,4
rshiny,4
ubuntu,4
ajax,2
html5,2
mlr,2
vue.js,2
ember.js,1
ggplot2,1
sass,1
tidyr,1
