Year,Quarter,Month,Day,% Skill in Posting,Job Skills
2017,Qtr 1,January,1,20.00%,aws
2017,Qtr 1,January,1,40.00%,cloud
2017,Qtr 1,January,1,20.00%,machine_learning
2017,Qtr 1,January,1,80.00%,python
2017,Qtr 1,January,1,80.00%,sql
2017,Qtr 1,January,2,100.00%,aws
2017,Qtr 1,January,2,100.00%,cloud
2017,Qtr 1,January,2,100.00%,python
2017,Qtr 1,January,2,100.00%,sql
2017,Qtr 1,January,3,25.00%,cloud
2017,Qtr 1,January,3,50.00%,sql
2017,Qtr 1,January,4,66.67%,aws
2017,Qtr 1,January,4,66.67%,cloud
2017,Qtr 1,January,4,33.33%,machine_learning
2017,Qtr 1,January,4,33.33%,python
2017,Qtr 1,January,5,66.67%,machine_learning
2017,Qtr 1,January,5,66.67%,python
2017,Qtr 1,January,5,66.67%,sql
2017,Qtr 1,January,6,33.33%,aws
2017,Qtr 1,January,6,66.67%,cloud
2017,Qtr 1,January,6,33.33%,python
2017,Qtr 1,January,7,50.00%,sql
2017,Qtr 1,January,8,25.00%,cloud
2017,Qtr 1,January,8,50.00%,machine_learning
2017,Qtr 1,January,8,25.00%,python
2017,Qtr 1,January,8,25.00%,sql
2017,Qtr 1,January,10,33.33%,aws
2017,Qtr 1,January,10,50.00%,cloud
2017,Qtr 1,January,11,33.33%,aws
2017,Qtr 1,January,11,33.33%,cloud
2017,Qtr 1,January,11,33.33%,python
2017,Qtr 1,January,11,33.33%,sql
2017,Qtr 1,January,12,33.33%,aws
2017,Qtr 1,January,12,33.33%,python
2017,Qtr 1,January,12,66.67%,sql
2017,Qtr 1,January,13,66.67%,sql
2017,Qtr 1,January,14,100.00%,cloud
2017,Qtr 1,January,14,100.00%,machine_learning
2017,Qtr 1,January,14,100.00%,sql
2017,Qtr 1,January,15,40.00%,aws
2017,Qtr 1,January,15,20.00%,cloud
2017,Qtr 1,January,15,40.00%,machine_learning
2017,Qtr 1,January,15,40.00%,python
2017,Qtr 1,January,15,20.00%,sql
2017,Qtr 1,January,16,50.00%,aws
2017,Qtr 1,January,16,50.00%,cloud
2017,Qtr 1,January,16,66.67%,python
2017,Qtr 1,January,16,50.00%,sql
2017,Qtr 1,January,17,66.67%,aws
2017,Qtr 1,January,17,33.33%,cloud
2017,Qtr 1,January,17,33.33%,sql
2017,Qtr 1,January,18,50.00%,aws
2017,Qtr 1,January,18,50.00%,cloud
2017,Qtr 1,January,18,50.00%,sql
2017,Qtr 1,January,19,50.00%,machine_learning
2017,Qtr 1,January,19,50.00%,python
2017,Qtr 1,January,19,50.00%,sql
2017,Qtr 1,January,20,66.67%,aws
2017,Qtr 1,January,20,33.33%,python
2017,Qtr 1,January,20,66.67%,sql
2017,Qtr 1,January,21,60.00%,aws
2017,Qtr 1,January,21,80.00%,cloud
2017,Qtr 1,January,21,40.00%,machine_learning
2017,Qtr 1,January,21,20.00%,python
2017,Qtr 1,January,22,100.00%,aws
2017,Qtr 1,January,22,50.00%,machine_learning
2017,Qtr 1,January,22,100.00%,python
2017,Qtr 1,January,22,50.00%,sql
2017,Qtr 1,January,23,16.67%,aws
2017,Qtr 1,January,23,33.33%,machine_learning
2017,Qtr 1,January,23,66.67%,python
2017,Qtr 1,January,23,66.67%,sql
2017,Qtr 1,January,24,75.00%,aws
2017,Qtr 1,January,24,75.00%,cloud
2017,Qtr 1,January,24,25.00%,python
2017,Qtr 1,January,24,25.00%,sql
2017,Qtr 1,January,25,50.00%,machine_learning
2017,Qtr 1,January,25,100.00%,sql
2017,Qtr 1,January,26,40.00%,aws
2017,Qtr 1,January,26,40.00%,cloud
2017,Qtr 1,January,26,20.00%,machine_learning
2017,Qtr 1,January,26,40.00%,python
2017,Qtr 1,January,26,40.00%,sql
2017,Qtr 1,January,27,100.00%,aws
2017,Qtr 1,January,27,100.00%,machine_learning
2017,Qtr 1,January,27,100.00%,python
2017,Qtr 1,January,28,66.67%,aws
2017,Qtr 1,January,28,66.67%,cloud
2017,Qtr 1,January,28,66.67%,machine_learning
2017,Qtr 1,January,28,33.33%,python
2017,Qtr 1,January,28,33.33%,sql
2017,Qtr 1,January,29,50.00%,aws
2017,Qtr 1,January,29,50.00%,sql
2017,Qtr 1,January,30,16.67%,aws
2017,Qtr 1,January,30,16.67%,cloud
2017,Qtr 1,January,30,16.67%,machine_learning
2017,Qtr 1,January,30,16.67%,python
2017,Qtr 1,January,30,50.00%,sql
2017,Qtr 1,January,31,50.00%,aws
2017,Qtr 1,January,31,25.00%,cloud
2017,Qtr 1,February,1,100.00%,aws
2017,Qtr 1,February,1,100.00%,cloud
2017,Qtr 1,February,1,50.00%,sql
2017,Qtr 1,February,2,50.00%,aws
2017,Qtr 1,February,2,50.00%,cloud
2017,Qtr 1,February,2,50.00%,python
2017,Qtr 1,February,2,50.00%,sql
2017,Qtr 1,February,3,20.00%,aws
2017,Qtr 1,February,3,40.00%,cloud
2017,Qtr 1,February,3,20.00%,machine_learning
2017,Qtr 1,February,3,80.00%,python
2017,Qtr 1,February,3,60.00%,sql
2017,Qtr 1,February,4,50.00%,aws
2017,Qtr 1,February,4,50.00%,cloud
2017,Qtr 1,February,5,25.00%,aws
2017,Qtr 1,February,5,25.00%,cloud
2017,Qtr 1,February,5,50.00%,machine_learning
2017,Qtr 1,February,5,50.00%,python
2017,Qtr 1,February,5,50.00%,sql
2017,Qtr 1,February,8,100.00%,aws
2017,Qtr 1,February,8,66.67%,cloud
2017,Qtr 1,February,8,33.33%,python
2017,Qtr 1,February,8,33.33%,sql
2017,Qtr 1,February,9,66.67%,aws
2017,Qtr 1,February,9,66.67%,cloud
2017,Qtr 1,February,9,33.33%,machine_learning
2017,Qtr 1,February,9,33.33%,python
2017,Qtr 1,February,9,33.33%,sql
2017,Qtr 1,February,10,33.33%,aws
2017,Qtr 1,February,10,33.33%,cloud
2017,Qtr 1,February,10,33.33%,machine_learning
2017,Qtr 1,February,10,33.33%,python
2017,Qtr 1,February,10,33.33%,sql
2017,Qtr 1,February,11,33.33%,aws
2017,Qtr 1,February,11,33.33%,machine_learning
2017,Qtr 1,February,11,33.33%,python
2017,Qtr 1,February,11,66.67%,sql
2017,Qtr 1,February,12,33.33%,aws
2017,Qtr 1,February,12,66.67%,cloud
2017,Qtr 1,February,12,33.33%,python
2017,Qtr 1,February,12,33.33%,sql
2017,Qtr 1,February,13,100.00%,sql
2017,Qtr 1,February,14,33.33%,aws
2017,Qtr 1,February,14,33.33%,cloud
2017,Qtr 1,February,14,33.33%,machine_learning
2017,Qtr 1,February,14,33.33%,python
2017,Qtr 1,February,14,66.67%,sql
2017,Qtr 1,February,15,50.00%,cloud
2017,Qtr 1,February,15,50.00%,python
2017,Qtr 1,February,15,50.00%,sql
2017,Qtr 1,February,16,33.33%,aws
2017,Qtr 1,February,16,66.67%,cloud
2017,Qtr 1,February,16,33.33%,machine_learning
2017,Qtr 1,February,16,33.33%,python
2017,Qtr 1,February,16,33.33%,sql
2017,Qtr 1,February,17,33.33%,aws
2017,Qtr 1,February,17,66.67%,cloud
2017,Qtr 1,February,17,33.33%,python
2017,Qtr 1,February,17,33.33%,sql
2017,Qtr 1,February,18,33.33%,python
2017,Qtr 1,February,18,33.33%,sql
2017,Qtr 1,February,19,100.00%,aws
2017,Qtr 1,February,19,100.00%,cloud
2017,Qtr 1,February,19,33.33%,machine_learning
2017,Qtr 1,February,19,66.67%,python
2017,Qtr 1,February,19,100.00%,sql
2017,Qtr 1,February,20,50.00%,sql
2017,Qtr 1,February,21,33.33%,aws
2017,Qtr 1,February,21,33.33%,cloud
2017,Qtr 1,February,21,33.33%,python
2017,Qtr 1,February,21,66.67%,sql
2017,Qtr 1,February,22,66.67%,sql
2017,Qtr 1,February,23,100.00%,aws
2017,Qtr 1,February,23,100.00%,cloud
2017,Qtr 1,February,23,33.33%,python
2017,Qtr 1,February,23,33.33%,sql
2017,Qtr 1,February,24,33.33%,cloud
2017,Qtr 1,February,24,33.33%,machine_learning
2017,Qtr 1,February,24,33.33%,python
2017,Qtr 1,February,24,100.00%,sql
2017,Qtr 1,February,25,50.00%,aws
2017,Qtr 1,February,25,75.00%,cloud
2017,Qtr 1,February,25,25.00%,machine_learning
2017,Qtr 1,February,25,50.00%,python
2017,Qtr 1,February,25,25.00%,sql
2017,Qtr 1,February,26,75.00%,aws
2017,Qtr 1,February,26,75.00%,cloud
2017,Qtr 1,February,26,25.00%,machine_learning
2017,Qtr 1,February,26,25.00%,python
2017,Qtr 1,February,26,25.00%,sql
2017,Qtr 1,February,27,50.00%,aws
2017,Qtr 1,February,27,50.00%,cloud
2017,Qtr 1,February,27,50.00%,python
2017,Qtr 1,February,28,50.00%,aws
2017,Qtr 1,February,28,50.00%,cloud
2017,Qtr 1,February,28,50.00%,python
2017,Qtr 1,February,28,50.00%,sql
2017,Qtr 1,March,1,33.33%,python
2017,Qtr 1,March,1,66.67%,sql
2017,Qtr 1,March,2,33.33%,aws
2017,Qtr 1,March,2,33.33%,cloud
2017,Qtr 1,March,4,66.67%,aws
2017,Qtr 1,March,4,33.33%,cloud
2017,Qtr 1,March,4,33.33%,machine_learning
2017,Qtr 1,March,4,33.33%,python
2017,Qtr 1,March,4,33.33%,sql
2017,Qtr 1,March,5,50.00%,aws
2017,Qtr 1,March,5,50.00%,cloud
2017,Qtr 1,March,5,50.00%,machine_learning
2017,Qtr 1,March,5,50.00%,python
2017,Qtr 1,March,5,50.00%,sql
2017,Qtr 1,March,6,33.33%,aws
2017,Qtr 1,March,6,66.67%,cloud
2017,Qtr 1,March,6,66.67%,python
2017,Qtr 1,March,6,66.67%,sql
2017,Qtr 1,March,7,33.33%,aws
2017,Qtr 1,March,7,33.33%,cloud
2017,Qtr 1,March,7,33.33%,python
2017,Qtr 1,March,7,33.33%,sql
2017,Qtr 1,March,10,50.00%,sql
2017,Qtr 1,March,11,25.00%,cloud
2017,Qtr 1,March,11,25.00%,machine_learning
2017,Qtr 1,March,11,50.00%,python
2017,Qtr 1,March,11,50.00%,sql
2017,Qtr 1,March,12,50.00%,aws
2017,Qtr 1,March,12,50.00%,cloud
2017,Qtr 1,March,12,50.00%,machine_learning
2017,Qtr 1,March,12,50.00%,python
2017,Qtr 1,March,12,50.00%,sql
2017,Qtr 1,March,13,66.67%,aws
2017,Qtr 1,March,13,66.67%,cloud
2017,Qtr 1,March,13,33.33%,python
2017,Qtr 1,March,13,33.33%,sql
