Year,Quarter,Month,Day,Count of Job Posting ID,Job Position Level
2017,Qtr 1,January,2,1,Entry level
2017,Qtr 1,January,3,1,Mid-Senior level
2017,Qtr 1,January,4,1,Associate
2017,Qtr 1,January,5,1,Mid-Senior level
2017,Qtr 1,January,6,1,Mid-Senior level
2017,Qtr 1,January,8,2,Mid-Senior level
2017,Qtr 1,January,12,1,Mid-Senior level
2017,Qtr 1,January,14,1,Mid-Senior level
2017,Qtr 1,January,15,1,Mid-Senior level
2017,Qtr 1,January,19,1,Entry level
2017,Qtr 1,January,19,1,Mid-Senior level
2017,Qtr 1,January,20,1,Mid-Senior level
2017,Qtr 1,January,22,1,Associate
2017,Qtr 1,January,23,1,Entry level
2017,Qtr 1,January,23,1,Mid-Senior level
2017,Qtr 1,January,30,1,Mid-Senior level
2017,Qtr 1,January,31,1,Mid-Senior level
2017,Qtr 1,February,3,1,Executive
2017,Qtr 1,February,5,2,Associate
2017,Qtr 1,February,6,1,Mid-Senior level
2017,Qtr 1,February,9,1,Entry level
2017,Qtr 1,February,14,1,Entry level
2017,Qtr 1,February,15,1,Mid-Senior level
2017,Qtr 1,February,16,1,Mid-Senior level
2017,Qtr 1,February,20,1,Mid-Senior level
2017,Qtr 1,February,25,1,Director
2017,Qtr 1,February,26,1,Mid-Senior level
2017,Qtr 1,March,2,2,Mid-Senior level
2017,Qtr 1,March,4,1,Entry level
2017,Qtr 1,March,7,1,Mid-Senior level
2017,Qtr 1,March,9,1,Associate
2017,Qtr 1,March,10,1,Mid-Senior level
2017,Qtr 1,March,11,1,Mid-Senior level
2017,Qtr 1,March,12,1,Mid-Senior level
2017,Qtr 1,March,15,1,Mid-Senior level
2017,Qtr 1,March,17,1,Entry level
2017,Qtr 1,March,18,1,Mid-Senior level
2017,Qtr 1,March,20,1,Associate
2017,Qtr 1,March,23,1,Associate
2017,Qtr 1,March,23,1,Mid-Senior level
2017,Qtr 1,March,25,2,Mid-Senior level
2017,Qtr 1,March,27,1,Mid-Senior level
2017,Qtr 1,March,28,1,Mid-Senior level
2017,Qtr 1,March,29,1,Mid-Senior level
2017,Qtr 1,March,30,2,Mid-Senior level
2017,Qtr 2,April,1,1,Mid-Senior level
2017,Qtr 2,April,2,1,Associate
2017,Qtr 2,April,2,1,Mid-Senior level
2017,Qtr 2,April,3,1,Associate
2017,Qtr 2,April,3,1,Internship
2017,Qtr 2,April,3,2,Mid-Senior level
2017,Qtr 2,April,5,1,Associate
2017,Qtr 2,April,6,1,Mid-Senior level
2017,Qtr 2,April,10,1,Associate
2017,Qtr 2,April,10,2,Mid-Senior level
2017,Qtr 2,April,12,1,Mid-Senior level
2017,Qtr 2,April,14,1,Associate
2017,Qtr 2,April,15,1,Mid-Senior level
2017,Qtr 2,April,18,1,Mid-Senior level
2017,Qtr 2,April,22,1,Entry level
2017,Qtr 2,April,23,1,Mid-Senior level
2017,Qtr 2,April,24,1,Entry level
2017,Qtr 2,April,26,1,Associate
2017,Qtr 2,April,30,1,Associate
2017,Qtr 2,May,3,2,Mid-Senior level
