Job Skills,% Skill in Posting,Job Title
machine_learning,97.88%,Machine Learning Engineer
python,80.21%,Machine Learning Engineer
sql,73.13%,Data Analyst
aws,68.46%,Data Engineer
cloud,65.86%,Data Engineer
python,58.83%,Data Scientist
python,52.66%,Data Engineer
sql,52.40%,Data Engineer
ml,52.30%,Machine Learning Engineer
azure,49.10%,Data Engineer
machine_learning,48.87%,Data Scientist
python,45.99%,Data Analyst
aws,44.52%,Machine Learning Engineer
tableau,44.31%,Data Analyst
sql,43.37%,Data Scientist
agile,41.11%,Business Analyst
cloud,37.46%,Machine Learning Engineer
excel,37.37%,Data Analyst
tensorflow,36.40%,Machine Learning Engineer
r,34.17%,Data Scientist
etl,32.96%,Data Engineer
pytorch,28.62%,Machine Learning Engineer
ai,28.27%,Machine Learning Engineer
spark,28.27%,Machine Learning Engineer
database,28.01%,Data Analyst
excel,26.98%,Business Analyst
spark,26.40%,Data Engineer
r,26.13%,Data Analyst
java,24.03%,Machine Learning Engineer
programming,23.83%,Data Engineer
programming,23.67%,Machine Learning Engineer
database,23.22%,Data Engineer
nlp,22.61%,Machine Learning Engineer
sql,21.55%,Machine Learning Engineer
microsoft,21.48%,Data Analyst
programming,20.41%,Data Scientist
snowflake,19.64%,Data Engineer
r,19.43%,Machine Learning Engineer
microsoft,19.16%,Business Analyst
cloud,18.96%,Data Scientist
agile,18.89%,Data Engineer
bi,18.72%,Data Analyst
redshift,18.66%,Data Engineer
looker,18.65%,Data Analyst
sql,18.27%,Business Analyst
power_bi,18.05%,Data Analyst
java,18.00%,Data Engineer
warehousing,17.71%,Data Engineer
machine_learning,17.07%,Data Engineer
spark,16.31%,Data Scientist
ml,16.26%,Data Scientist
aws,15.41%,Data Scientist
agile,14.84%,Machine Learning Engineer
programming,14.61%,Data Analyst
airflow,14.30%,Data Engineer
scrum,14.29%,Business Analyst
tableau,13.71%,Data Scientist
ai,13.46%,Data Scientist
keras,13.43%,Machine Learning Engineer
etl,13.33%,Data Analyst
scala,13.32%,Data Engineer
coding,13.07%,Machine Learning Engineer
gcp,13.07%,Machine Learning Engineer
hadoop,12.65%,Data Engineer
agile,12.53%,Data Analyst
scala,12.37%,Machine Learning Engineer
nosql,12.36%,Data Engineer
hadoop,12.01%,Machine Learning Engineer
cloud,12.00%,Business Analyst
cloud,11.92%,Data Analyst
jira,11.75%,Business Analyst
airflow,11.66%,Machine Learning Engineer
gcp,11.24%,Data Engineer
powerpoint,11.10%,Business Analyst
nlp,10.61%,Data Scientist
pandas,10.60%,Machine Learning Engineer
mysql,10.49%,Data Engineer
tableau,10.46%,Data Engineer
word,10.25%,Business Analyst
docker,10.25%,Machine Learning Engineer
bi,10.02%,Data Engineer
server,10.02%,Data Engineer
ai/ml,9.89%,Machine Learning Engineer
azure,9.89%,Machine Learning Engineer
oracle,9.76%,Data Analyst
tensorflow,9.60%,Data Scientist
visio,9.51%,Business Analyst
devops,9.33%,Data Engineer
coding,9.24%,Data Engineer
numpy,9.19%,Machine Learning Engineer
scikit-learn,9.19%,Machine Learning Engineer
tableau,9.16%,Business Analyst
snowflake,8.89%,Data Analyst
devops,8.83%,Machine Learning Engineer
database,8.75%,Data Scientist
postgres,8.72%,Data Engineer
hadoop,8.65%,Data Scientist
microsoft,8.64%,Data Engineer
saas,8.62%,Data Analyst
data_lake,8.61%,Data Engineer
ci/cd,8.58%,Data Engineer
mlops,8.48%,Machine Learning Engineer
machine_learning,8.42%,Data Analyst
sas,8.22%,Data Analyst
git,8.13%,Machine Learning Engineer
power_bi,8.09%,Data Engineer
hadoop,8.08%,Data Analyst
docker,7.91%,Data Engineer
snowflake,7.77%,Machine Learning Engineer
apache,7.68%,Data Engineer
git,7.63%,Data Engineer
power_bi,7.37%,Business Analyst
word,7.27%,Data Analyst
powerpoint,7.21%,Data Analyst
pandas,7.20%,Data Scientist
pyspark,7.11%,Data Engineer
kotlin,7.07%,Machine Learning Engineer
azure,6.80%,Data Scientist
c++,6.71%,Machine Learning Engineer
go,6.71%,Machine Learning Engineer
database,6.62%,Business Analyst
bigquery,6.61%,Data Engineer
pytorch,6.55%,Data Scientist
aws,6.46%,Data Analyst
scikit-learn,6.40%,Data Scientist
oracle,6.38%,Data Engineer
apache,6.36%,Machine Learning Engineer
backend,6.36%,Machine Learning Engineer
looker,6.01%,Data Engineer
ci/cd,6.01%,Machine Learning Engineer
sas,6.00%,Data Scientist
go,5.99%,Data Analyst
pandas,5.98%,Data Engineer
ml,5.95%,Data Engineer
saas,5.69%,Data Engineer
server,5.66%,Data Analyst
numpy,5.65%,Data Scientist
git,5.60%,Data Scientist
data_lakes,5.40%,Data Engineer
